gp,driver,constructor
Bahrain,VER,Red Bull Racing Honda RBPT
Saudi Arabia,PER,Red Bull Racing Honda RBPT
Australia,VER,Red Bull Racing Honda RBPT
Azerbaijan,PER,Red Bull Racing Honda RBPT
Miami,VER,Red Bull Racing Honda RBPT
Monaco,VER,Red Bull Racing Honda RBPT
Spain,VER,Red Bull Racing Honda RBPT
Canada,VER,Red Bull Racing Honda RBPT
Austria,VER,Red Bull Racing Honda RBPT
Great Britain,VER,Red Bull Racing Honda RBPT
Hungary,VER,Red Bull Racing Honda RBPT
Belgium,VER,Red Bull Racing Honda RBPT
Netherlands,VER,Red Bull Racing Honda RBPT
Italy,VER,Red Bull Racing Honda RBPT
Singapore,SAI,Ferrari
Japan,VER,Red Bull Racing Honda RBPT
Qatar,VER,Red Bull Racing Honda RBPT
United States,VER,Red Bull Racing Honda RBPT
Mexico,VER,Red Bull Racing Honda RBPT
Brazil,VER,Red Bull Racing Honda RBPT
Las Vegas,VER,Red Bull Racing Honda RBPT
